Date,Clicks,Impressions,CTR,Position
2026-05-04,0,7,0%,8.6
2026-05-05,0,5,0%,7
2026-05-06,0,5,0%,29.4
2026-05-07,0,13,0%,12
2026-05-08,1,2,50%,11.5
2026-05-09,0,6,0%,16
2026-05-10,0,4,0%,25.2
