Country,Clicks,Impressions,CTR,Position
Spain,1,1,100%,12
United States,0,23,0%,9.61
United Kingdom,0,10,0%,31.5
Ukraine,0,2,0%,9
Israel,0,1,0%,2
Poland,0,1,0%,6
France,0,1,0%,7
Sweden,0,1,0%,7
Norway,0,1,0%,11
China,0,1,0%,19
