Reason,Source,Validation,Pages
Page with redirect,Website,Failed,7
Crawled - currently not indexed,Google systems,Failed,3
Discovered – currently not indexed,Google systems,Not Started,118
Alternative page with proper canonical tag,Website,Started,2
Excluded by ‘noindex’ tag,Website,Started,1
