Date,Clicks,Impressions,CTR,Position
2026-04-27,0,116,0%,30.2
2026-04-28,0,102,0%,36.1
2026-04-29,0,24,0%,26.3
2026-04-30,0,8,0%,23.5
2026-05-01,0,5,0%,12.2
2026-05-02,0,6,0%,10
2026-05-03,0,6,0%,33
